12-August-2012	21:54:04.783	HK	3	Pedal down
12-August-2012	21:54:15.921	HK	4	Pedal up
12-August-2012	21:54:17.169	HK	3	Pedal down
12-August-2012	21:54:21.022	HK	4	Pedal up
12-August-2012	21:54:21.989	HK	3	Pedal down
12-August-2012	21:54:36.373	HK	4	Pedal up
12-August-2012	21:54:38.510	HK	3	Pedal down
12-August-2012	21:54:42.909	HK	4	Pedal up
12-August-2012	21:54:44.344	HK	3	Pedal down
12-August-2012	21:54:47.901	HK	4	Pedal up
12-August-2012	21:54:49.133	HK	3	Pedal down
12-August-2012	21:54:54.219	HK	4	Pedal up
12-August-2012	21:57:52.137	HK	3	Pedal down
12-August-2012	21:58:14.555	HK	4	Pedal up
12-August-2012	21:58:18.689	HK	3	Pedal down
12-August-2012	21:58:38.095	HK	4	Pedal up
12-August-2012	21:59:37.094	HK	3	Pedal down
12-August-2012	21:59:37.469	HK	4	Pedal up
12-August-2012	21:59:57.390	HK	3	Pedal down
14-August-2012	21:22:09.197	HK	2	Surgeon logged out
14-August-2012	22:28:32.621	HK	1	Surgeon logged in.
14-August-2012	22:28:38.975	HK	2	Surgeon logged out
14-August-2012	22:29:12.876	HK	1	Surgeon logged in.
14-August-2012	22:34:05.056	HK	2	Surgeon logged out
14-August-2012	22:50:48.184	HK	1	Surgeon logged in.
14-August-2012	22:52:24.075	HK	3	Pedal down
14-August-2012	22:52:35.659	HK	4	Pedal up
14-August-2012	22:52:46.267	HK	3	Pedal down
14-August-2012	22:52:47.739	HK	4	Pedal up
14-August-2012	22:52:48.651	HK	3	Pedal down
14-August-2012	22:52:49.387	HK	4	Pedal up
14-August-2012	22:54:47.257	HK	3	Pedal down
14-August-2012	22:54:48.697	HK	4	Pedal up
14-August-2012	22:55:03.689	HK	3	Pedal down
14-August-2012	22:55:04.521	HK	4	Pedal up
14-August-2012	22:55:06.745	HK	3	Pedal down
14-August-2012	22:55:07.241	HK	4	Pedal up
14-August-2012	22:56:00.201	HK	3	Pedal down
14-August-2012	22:57:53.974	HK	4	Pedal up
14-August-2012	22:57:54.582	HK	3	Pedal down
14-August-2012	22:57:59.079	HK	4	Pedal up
14-August-2012	22:57:59.399	HK	3	Pedal down
14-August-2012	22:58:00.103	HK	4	Pedal up
14-August-2012	22:58:00.423	HK	3	Pedal down
14-August-2012	22:58:05.079	HK	4	Pedal up
14-August-2012	22:58:05.766	HK	3	Pedal down
14-August-2012	22:58:06.550	HK	4	Pedal up
14-August-2012	22:58:08.726	HK	3	Pedal down
14-August-2012	22:58:09.366	HK	4	Pedal up
14-August-2012	22:58:11.750	HK	3	Pedal down
14-August-2012	22:58:12.214	HK	4	Pedal up
14-August-2012	22:58:14.599	HK	3	Pedal down
14-August-2012	22:58:15.623	HK	4	Pedal up
14-August-2012	22:58:19.462	HK	3	Pedal down
14-August-2012	22:58:19.926	HK	4	Pedal up
14-August-2012	22:58:22.278	HK	3	Pedal down
14-August-2012	22:58:22.694	HK	4	Pedal up
14-August-2012	22:58:24.758	HK	3	Pedal down
14-August-2012	22:58:25.126	HK	4	Pedal up
14-August-2012	22:58:25.430	HK	3	Pedal down
14-August-2012	22:58:25.750	HK	4	Pedal up
14-August-2012	22:58:26.086	HK	3	Pedal down
14-August-2012	22:58:26.406	HK	4	Pedal up
14-August-2012	22:58:26.678	HK	3	Pedal down
14-August-2012	22:58:27.189	HK	4	Pedal up
14-August-2012	22:59:37.141	HK	3	Pedal down
14-August-2012	22:59:37.733	HK	4	Pedal up
14-August-2012	22:59:38.149	HK	3	Pedal down
14-August-2012	22:59:38.693	HK	4	Pedal up
14-August-2012	22:59:40.372	HK	3	Pedal down
14-August-2012	22:59:42.565	HK	4	Pedal up
14-August-2012	22:59:43.125	HK	3	Pedal down
14-August-2012	22:59:43.781	HK	4	Pedal up
14-August-2012	22:59:44.133	HK	3	Pedal down
14-August-2012	22:59:44.597	HK	4	Pedal up
14-August-2012	22:59:54.948	HK	3	Pedal down
14-August-2012	22:59:56.148	HK	4	Pedal up
14-August-2012	23:00:38.740	HK	3	Pedal down
14-August-2012	23:00:39.204	HK	4	Pedal up
14-August-2012	23:00:39.524	HK	3	Pedal down
14-August-2012	23:00:39.860	HK	4	Pedal up
14-August-2012	23:03:05.361	HK	3	Pedal down
14-August-2012	23:03:05.889	HK	4	Pedal up
14-August-2012	23:03:06.545	HK	3	Pedal down
14-August-2012	23:03:06.961	HK	4	Pedal up
14-August-2012	23:03:08.017	HK	3	Pedal down
14-August-2012	23:03:23.777	HK	4	Pedal up
14-August-2012	23:03:28.753	HK	3	Pedal down
14-August-2012	23:03:34.528	HK	4	Pedal up
14-August-2012	23:19:49.227	HK	3	Pedal down
15-August-2012	00:00:05.759	HK	3	Pedal down
15-August-2012	00:03:41.227	HK	3	Pedal down
15-August-2012	00:04:27.338	HK	3	Pedal down
15-August-2012	00:04:27.978	HK	4	Pedal up
15-August-2012	00:04:28.298	HK	3	Pedal down
15-August-2012	00:04:28.730	HK	4	Pedal up
15-August-2012	00:04:29.018	HK	3	Pedal down
15-August-2012	00:04:29.434	HK	4	Pedal up
15-August-2012	00:04:30.154	HK	3	Pedal down
15-August-2012	00:04:30.666	HK	4	Pedal up
15-August-2012	00:05:07.785	HK	3	Pedal down
15-August-2012	00:05:08.393	HK	4	Pedal up
15-August-2012	00:05:11.241	HK	3	Pedal down
15-August-2012	00:05:12.537	HK	4	Pedal up
15-August-2012	00:05:31.688	HK	3	Pedal down
15-August-2012	00:05:55.273	HK	3	Pedal down
